RELEASE_NAME	ARCHITECTURE_NAME	EXTERNAL_TAG
CMSSW_4_3_0_pre2	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_0_pre2	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-04-03-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-04-04-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-04-04-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-04-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-04-07-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-07-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-07-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-04-08-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-08-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-08-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-04-10-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-04-10-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-10-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-04-10-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_1_X_2011-04-12-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-15-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-04-15-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-15-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-04-16-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-11-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-11-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-11-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-03-12-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-12-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-12-0200	slc5_amd64_gcc451	V00-16-05-01
